Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas,transaction,Customer_Profile,Cluster
2023/06/08 7:50:55 PM GMT+5:30,65,Prefer not to say,Less than once a month,Clothing and Fashion,Yes,Multiple times a day,Keyword,Multiple pages,2.0,No,Sometimes,Found a better price elsewhere,Sometimes,Yes,3,No,1,4.0,4.0,Competitive prices,better app interface and lower shipping charges,778242,Regular Customer,0
2023/06/09 9:37:44 AM GMT+5:30,20,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Home and Kitchen,No,Rarely,Filter,First page,3.0,No,Never,High shipping costs,Always,Yes,4,Yes,1,4.0,5.0,Quick delivery,Scrolling option would be much better than going to next page,193482,Frequent Buyer,0
2023/06/11 11:26:54 PM GMT+5:30,42,Male,Once a week,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a week,Keyword,Multiple pages,2.0,No,Rarely,Found a better price elsewhere,Often,Yes,4,Sometimes,0,5.0,3.0,All the above,Nil,925975,Regular Customer,1
2023/06/08 5:17:10 PM GMT+5:30,65,Others,Once a month,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a month,Filter,Multiple pages,2.0,Yes,Sometimes,others,Often,Yes,2,No,2,1.0,2.0,Quick delivery,Quality of product is very poor according to the big offers,566872,At-Risk Customer,2
2023/06/11 10:59:30 PM GMT+5:30,45,Female,Once a week,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,5.0,Maybe,Rarely,Changed my mind or no longer need the item,Never,Yes,1,No,2,1.0,2.0,Quick delivery,Irrelevant product suggestions,683642,At-Risk Customer,2
2023/06/07 9:18:55 PM GMT+5:30,67,Others,Few times a month,Groceries and Gourmet Food;Clothing and Fashion;others,No,Multiple times a day,Keyword,Multiple pages,3.0,No,Always,others,Never,No,3,Sometimes,0,4.0,3.0,Product recommendations,Nothing,461923,Regular Customer,1
2023/06/08 7:46:31 PM GMT+5:30,55,Female,Few times a month,Groceries and Gourmet Food;Beauty and Personal Care,Sometimes,Few times a week,Keyword,First page,5.0,Maybe,Never,Found a better price elsewhere,Rarely,Yes,3,No,2,5.0,3.0,Customer service ,Customer service responsiveness,521643,Regular Customer,1
2023/06/06 7:02:21 PM GMT+5:30,44,Prefer not to say,Few times a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,4.0,Yes,Often,Changed my mind or no longer need the item,Rarely,No,4,Sometimes,1,5.0,1.0,Customer service ,I have no problem with Amazon yet. But others tell me about the refund issues ,155589,At-Risk Customer,1
2023/06/07 11:07:55 PM GMT+5:30,33,Male,Less than once a month,Beauty and Personal Care;others,Yes,Rarely,Keyword,Multiple pages,1.0,Yes,Often,High shipping costs,Rarely,No,4,Sometimes,1,2.0,2.0,Competitive prices,Quality of product is very poor according to the big offers,860726,At-Risk Customer,2
2023/06/05 4:50:44 PM GMT+5:30,22,Others,Few times a month,Clothing and Fashion;Home and Kitchen,No,Multiple times a day,Filter,First page,5.0,Maybe,Never,Changed my mind or no longer need the item,Rarely,No,2,No,2,1.0,3.0,All the above,I don't have any problem with Amazon,745946,Regular Customer,2
2023/06/06 6:38:03 PM GMT+5:30,28,Female,Once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a month,Others,First page,4.0,Yes,Sometimes,Changed my mind or no longer need the item,Sometimes,Yes,2,Yes,2,4.0,5.0,All the above,UI,882918,Occasional Shopper,0
2023/06/08 5:38:01 PM GMT+5:30,44,Prefer not to say,Multiple times a week,Groceries and Gourmet Food,Sometimes,Multiple times a day,Keyword,First page,5.0,Yes,Always,others,Often,Yes,2,Yes,2,4.0,3.0,User-friendly website/app interface,Shipping speed and reliability,911442,Regular Customer,1
2023/06/05 8:07:52 PM GMT+5:30,24,Male,Once a month,Beauty and Personal Care;Home and Kitchen;others,No,Few times a week,Filter,First page,4.0,No,Always,others,Rarely,Yes,3,Yes,2,5.0,3.0,Competitive prices,Add more familiar brands to the list,403975,Occasional Shopper,1
2023/06/07 5:58:12 PM GMT+5:30,23,Male,Once a month,Beauty and Personal Care;Home and Kitchen,Yes,Few times a month,Filter,First page,5.0,Maybe,Always,Changed my mind or no longer need the item,Sometimes,No,3,Yes,1,5.0,1.0,Wide product selection,I have no problem with Amazon yet. But others tell me about the refund issues ,681181,At-Risk Customer,1
2023/06/08 5:43:45 PM GMT+5:30,58,Prefer not to say,Once a week,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a week,Keyword,First page,5.0,Maybe,Never,High shipping costs,Often,Yes,0,Yes,0,3.0,1.0,Quick delivery,Shipping speed and reliability,921065,At-Risk Customer,1
2023/06/05 1:37:01 PM GMT+5:30,40,Male,Less than once a month,Groceries and Gourmet Food;Beauty and Personal Care;others,No,Multiple times a day,Keyword,First page,3.0,No,Never,Found a better price elsewhere,Never,No,0,No,0,2.0,2.0,Customer service ,Quality of product is very poor according to the big offers,335642,At-Risk Customer,2
2023/06/07 12:44:27 PM GMT+5:30,46,Prefer not to say,Once a week,Groceries and Gourmet Food,Yes,Rarely,Categories,First page,2.0,Yes,Always,High shipping costs,Sometimes,No,1,Sometimes,1,5.0,2.0,Wide product selection,User interface ,348266,At-Risk Customer,1
2023/06/08 5:48:55 PM GMT+5:30,15,Others,Once a month,Groceries and Gourmet Food;Clothing and Fashion,Sometimes,Few times a month,Keyword,Multiple pages,2.0,Maybe,Often,others,Often,Yes,0,No,2,2.0,2.0,Quick delivery,Reducing packaging waste,661105,At-Risk Customer,2
2023/06/09 3:17:31 PM GMT+5:30,41,Female,Less than once a month,Groceries and Gourmet Food;Clothing and Fashion,Yes,Few times a week,Categories,First page,4.0,Maybe,Always,Changed my mind or no longer need the item,Sometimes,Yes,0,Sometimes,1,4.0,2.0,All the above,Nil,498142,At-Risk Customer,1
